fly,летать
pilot,пилот
hospital,больница
estate,"поместье, имущество, сословие"
apartment,квартира
bakery,пекарня
temple,храм
church,церковь
dentist,зубной врач
doctor,"доктор, врач"
nurse,няня (не nanny)
cup,чашка
cupboard,буфет
glass,"стакан, бокал"
plate,тарелка
saucepan,кастрюля
jug,кувшин
kettle,чайник
sink,тонуть
tap,постучать
telephone,"телефон, звонить по телефону"
knife,нож
plane,самолет
photographer,фотограф
reporter,репортер
postman,почтальон
cabbage,капуста
fork,вилка
spoon,ложка
waiter,официант
waitress,официантка
market,рынок
actor,актер
drugstore,аптека
pedestrian,пешеход
block,"блок, квартал"
bus,автобус
car,машина
stadium,стадион
street,улица
taxi,такси
tram,трамвай
underground,"метрополитен, подземный, подпольный"
van,"фургон, багажный вагон"
park,"парк, (при)парковать(ся)"
boulevard,бульвар
truck,грузовик
bicycle,велосипед
train,"поезд, привлекать, воспитывать"
coach,"тренировать, инструктор"
fly,летать
pilot,пилот
hospital,больница
estate,"поместье, имущество, сословие"
apartment,квартира
bakery,пекарня
temple,храм
church,церковь
dentist,зубной врач
doctor,"доктор, врач"
nurse,няня (не nanny)
cup,чашка
cupboard,буфет
glass,"стакан, бокал"
plate,тарелка
saucepan,кастрюля
jug,кувшин
kettle,чайник
sink,тонуть
tap,постучать
telephone,"телефон, звонить по телефону"
knife,нож
plane,самолет
photographer,фотограф
reporter,репортер
postman,почтальон
cabbage,капуста
fork,вилка
spoon,ложка
waiter,официант
waitress,официантка
market,рынок
actor,актер
drugstore,аптека
pedestrian,пешеход
block,"блок, квартал"
bus,автобус
car,машина
stadium,стадион
street,улица
taxi,такси
tram,трамвай
underground,"метрополитен, подземный, подпольный"
van,"фургон, багажный вагон"
park,"парк, (при)парковать(ся)"
boulevard,бульвар
truck,грузовик
bicycle,велосипед
train,"поезд, привлекать, воспитывать"
coach,"тренировать, инструктор"
border,граница
artist,художник
actress,актриса
computer,компьютер
mouse,мышь
teacher,учитель
lawyer,"адвокат, юрист"
suit,"костюм, подходить, устраивать"
jail,тюрьма
jacket,куртка
baker,"пекарь, булочник"
butcher,мясник
gardener,садовник
fisherman,рыбак
carpenter,плотник
architect,архитектор
farmer,фермер
locksmith,слесарь
scientist,ученый
writer,писатель
hand,рука
rubber,резина
skin,кожа
mole,крот
foot,"нога, фут"
chest,грудь
scarf,шарф
tie,"связь, связывать, галстук"
blouse,блуза
dress,"платье, одеваться"
shirt,"рубашка, блузка"
jeans,джинсы
raincoat,плащ
shorts,трусики
sweater,эксплуататор
vest,"жилет (амер.), майка"
waistcoat,жилет
socks,носки (от sock)
overcoat,пальто
stockings,чулки (от stocking)
ant,муравей
cat,кошка
deer,"олень, лань"
lion,лев
pig,свинья
bee,пчела
bear,"медведь, спекулянт"
wolf,волк
frog,лягушка
lizard,ящерица
elephant,слон
rabbit,кролик
donkey,осел
mosquito,комар
tiger,тигр
turtle,черепаха (TR!)
monkey,обезьяна
fox,лиса
squirrel,белка
rhinoceros,носорог
worm,"червь, глист, ничтожество (перен.)"
spider,паук
crocodile,крокодил
snake,змея
beetle,"трамбовать, дробить камни"
grasshopper,кузнечик
wasp,оса
moth,"моль, мотылек"
apple,яблоко
apricot,абрикос
carrot,морковь
fig,рис. (TR!)
garlic,чеснок
onion,лук
orange,"апельсин, оранжевый"
peach,персик
pear,груша
pineapple,ананас
plum,слива
tangerine,мандарин (плод)
lemon,лимон
grapes,виноград
melon,дыня
peas,"горошек, горох"
tomato,"томат, помидор"
lettuce,салат
cucumber,огурец
potato,картофель
ear,ухо
beard,борода
cheek,щека
chin,подбородок
eye,глаз
eyebrow,бровь
forehead,лоб
head,"голова, главный, руководить"
lip,губа
mouth,рот
nose,нос
tongue,язык
tooth,зуб
arm,рука
back,"спина, назад"
elbow,локоть
hair,волосы
knee,колено
leg,нога
nail,"ноготь, гвоздь"
neck,шея
shoulder,"плечо, толкать"
face,лицо
palm,ладонь
wrist,"наручный, запястье"
waist,талия
hip,ягода шиповника
pumpkin,тыква
pepper,перец
turnip,репа
parsley,петрушка (бот.)
lime,известь
dog,собака
corner,угол
cow,корова
drawer,чертежник
goat,"козел, коза"
jaw,челюсть
model,модель
pen,ручка
pupil,ученик
rat,крыса
sheep,"овца, овцы"
swing,"качание, качели, качаться, колебаться"
grater,терка
briefcase,портфель
strawberries,клубника
cherries,вишни (от cherry)
dates,даты (от date)
braces,подтяжки
gloves,перчатки (от glove)
